VendorID,passenger_count,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,extra,mta_tax,tolls_amount,improvement_surcharge,congestion_surcharge,airport_fee,tip_amount
1,1,0,0,7,38,0,1,0,1,1,0,5
1,2,0,0,83,146,0,1,0,1,1,0,1
1,1,0,0,123,120,1,1,0,1,1,0,2
1,1,0,0,15,199,0,1,0,1,1,0,4
1,6,1,0,24,110,0,1,5,1,1,0,12
1,1,0,0,33,155,0,1,5,1,1,0,11
1,2,0,0,120,205,0,1,0,1,1,0,1
1,1,0,0,80,146,0,1,0,1,1,0,5
1,1,0,0,121,229,0,1,0,1,1,0,2
1,1,0,0,120,229,2,1,0,1,1,0,3
0,1,0,0,81,121,8,1,0,1,1,0,5
0,1,0,0,24,56,6,1,0,1,1,0,2
1,1,0,0,113,38,0,1,0,1,1,0,6
1,2,0,0,133,206,0,1,0,1,1,0,3
1,1,0,0,123,142,0,1,0,1,1,0,4
1,1,0,0,92,199,0,1,0,1,1,0,5
0,1,0,0,69,201,6,1,0,1,1,0,4
1,1,0,0,86,206,0,1,0,1,1,0,5
0,1,0,0,53,204,6,1,0,1,1,0,8
1,1,0,0,113,159,0,1,0,1,1,0,5
1,1,0,0,19,33,0,1,0,1,0,0,2
1,1,0,0,79,181,1,1,0,1,1,0,3
1,5,0,0,21,197,0,1,0,1,1,0,1
1,1,0,0,114,146,0,1,0,1,1,0,4
1,1,0,0,80,35,0,1,0,1,1,0,7
1,1,0,0,67,228,1,1,5,1,1,1,12
1,1,0,0,115,216,0,1,0,1,1,0,3
1,2,0,0,70,139,0,1,0,1,1,0,3
1,3,0,0,70,75,1,1,0,1,1,0,5
1,1,0,0,33,198,0,1,0,1,1,0,5
1,1,0,0,33,38,0,1,0,1,1,0,5
1,3,0,0,70,40,1,1,0,1,1,0,4
1,1,0,0,53,84,0,1,0,1,1,0,4
1,1,0,0,75,201,1,1,0,1,1,0,1
0,2,0,0,122,206,6,1,0,1,1,0,3
0,1,0,0,69,228,6,1,0,1,1,0,3
0,1,0,0,120,62,6,1,0,1,1,0,3
1,1,0,0,55,38,0,1,0,1,1,0,1
1,1,0,0,123,206,1,1,0,1,1,0,7
1,1,0,0,69,205,0,1,0,1,1,0,3
1,1,0,0,39,34,2,1,0,1,0,0,3
0,0,0,0,115,12,7,1,0,1,1,0,8
1,5,0,0,113,62,1,1,0,1,1,0,3
1,1,0,0,68,192,2,1,0,1,1,0,6
0,4,0,0,132,72,8,1,0,1,1,0,4
0,1,0,0,55,1,6,1,0,1,1,0,3
1,1,0,0,133,121,0,1,0,1,1,0,4
1,1,0,0,86,1,0,1,0,1,1,0,1
1,1,0,0,26,139,0,1,0,1,1,0,4
1,1,0,0,68,137,0,1,0,1,1,0,5
0,1,0,0,83,12,7,1,0,1,1,0,5
0,1,0,0,103,56,6,1,0,1,1,0,5
1,2,0,0,83,118,1,1,0,1,1,0,5
1,1,0,0,79,199,2,1,0,1,1,0,5
0,0,0,0,81,118,6,1,0,1,1,0,1
0,3,0,0,70,119,8,1,0,1,1,0,1
1,1,0,0,69,197,1,1,0,1,1,0,3
0,1,0,1,55,126,6,1,0,1,1,0,4
1,1,0,0,21,121,0,1,0,1,1,0,5
1,1,0,0,24,120,2,1,0,1,1,0,4
1,1,0,0,118,206,1,1,0,1,1,0,4
1,1,0,0,123,207,2,1,0,1,1,0,2
1,1,0,0,114,138,0,1,0,1,1,0,3
0,1,0,0,133,119,6,1,0,1,1,0,1
1,1,0,0,55,138,0,1,0,1,1,0,1
1,1,0,0,115,8,1,1,0,1,1,0,3
1,1,0,0,115,200,2,1,0,1,1,0,3
1,2,0,0,121,118,2,1,0,1,1,0,4
0,1,0,0,67,72,9,1,5,1,1,1,19
1,1,0,0,133,120,2,1,0,1,1,0,5
0,2,0,0,67,12,4,1,0,1,0,1,18
1,1,0,0,79,213,0,1,0,1,1,0,3
1,1,0,0,35,228,1,1,5,1,1,0,6
0,1,0,0,128,159,6,1,0,1,1,0,3
0,1,0,1,134,130,6,1,0,1,1,0,6
0,1,0,0,82,228,7,1,0,1,1,0,2
1,2,0,0,53,75,0,1,0,1,1,0,1
1,1,0,0,117,199,0,1,0,1,1,0,7
0,0,0,1,76,213,6,1,0,1,1,0,6
0,1,0,0,7,199,6,1,0,1,1,0,4
1,1,0,0,81,197,1,1,0,1,1,0,3
0,1,2,0,120,0,0,0,9,1,0,0,18
1,1,0,0,122,206,2,1,0,1,1,0,3
1,5,0,0,86,205,0,1,0,1,1,0,1
1,1,0,0,83,35,1,1,0,1,1,0,5
1,1,0,0,24,95,0,1,0,1,1,0,18
1,2,0,0,33,204,1,1,0,1,1,0,6
1,1,0,0,69,197,0,1,0,1,1,0,3
1,1,0,0,135,76,2,1,0,1,0,0,13
1,1,0,0,57,137,2,1,0,1,1,0,4
1,2,0,0,120,205,2,1,0,1,1,0,4
0,2,0,0,113,201,7,1,0,1,1,0,4
1,1,0,0,122,119,0,1,0,1,1,0,5
0,2,0,0,133,204,6,1,0,1,1,0,2
1,1,0,0,123,206,0,1,0,1,1,0,1
0,1,0,0,55,93,7,1,0,1,1,0,3
0,1,0,0,67,216,9,1,5,1,1,1,11
0,1,0,0,48,19,6,1,0,1,1,0,6
1,1,0,0,120,8,0,1,0,1,1,0,10
1,2,0,0,120,94,2,1,0,1,1,0,8
0,2,0,0,55,56,6,1,0,1,1,0,3
1,1,0,0,118,134,0,1,0,1,1,0,5
1,1,0,0,66,201,1,1,0,1,1,0,3
0,2,0,0,71,120,6,1,0,1,1,0,1
1,1,0,0,33,207,0,1,0,1,1,0,6
0,2,0,0,35,146,6,1,5,1,1,0,16
1,1,0,0,71,206,0,1,0,1,1,0,5
0,1,0,1,128,146,7,1,0,1,1,0,2
1,1,0,0,48,75,1,1,0,1,1,0,3
1,1,1,0,64,229,0,1,5,1,1,1,12
1,1,0,0,21,120,2,1,0,1,1,0,3
